OBJECTID,STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,STATUS,DATE,LATDD,LONGDD,x,y
336065,31,U1825E1405,1,5,1,00E14,0,02,55,37000,LITTLE PAPILLION CREEK,NA,BOYD ST/FAU 5078,OMAHA BOYD @ 88TH,99.99,16.29,0,0000000000,0,41.17528,96.030396,60,3,4,4,17,1984,2,0,5960,2015,5,8.5,0,0,0,1,0,1,N,5,0,0,0,P,5,5,4,2,0,0,3,0,8.5,12.2,31.1,1.5,1.5,8.5,12.3,99.99,N,0,N,0,0,6,7,7,6,N,1,52,1,31,7,2,N,5,6,5,34,1,31.1,622,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,1,1,0,1,5,0,1,Y,5,6960,2035,NA,N,31,F,6,382.53,AM,1202,41.298181,-96.051147,-96.051146999552,41.298181000334
336066,31,U1825E2225,1,5,1,00E22,0,02,55,37000,LITTLE PAPILLION CREEK,NA,PINE STREET,OMAHA PINE @ 69TH,99.99,0,0,0000000000,0,41.143588,96.0112,20,3,4,4,19,1998,5,0,10100,1998,0,17.7,0,0,0,1,N,N,N,5,0,0,0,A,5,5,6,2,0,0,3,0,18.7,18.9,52.1,1.8,1.8,18.7,23.1,99.99,N,0,N,0,0,6,7,7,7,N,1,68,1,41,7,3,N,5,7,7,NA,NA,NA,522,48,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,1,1,0,1,2,0,1,Y,8,12000,2033,NA,N,31,F,6,1203.51,AM,1202,41.243847,-96.020075,-96.0200749997131,41.2438469997098
336067,31,U1825E3705,1,5,1,00E37,0,02,55,37000,HELL CREEK,NA,126TH STREET,OMAHA 126TH @ PEDERSEN,99.99,0,0,0000000000,0,41.134188,96.062988,20,3,4,4,19,1935,2,0,300,2016,2,7.2,0,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,0,2,0,7.2,3.7,7.9,3,3,7.2,14.3,99.99,N,0,N,0,0,N,N,N,7,8,0,33,0,22,6,4,N,5,7,7,NA,NA,NA,1022,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,N,N,N,N,5,0,1,Y,8,400,2036,NA,N,31,G,8,112.97,ST,724,41.2283,-96.1083,-96.1082999999356,41.2282999998742
336068,31,U1825E4305,1,5,1,00E43,0,02,55,37000,STREAM,NA,PADDOCK ROAD,OMAHA PADDOCK @ W CENTER,99.99,0,0,0000000000,0,41.135412,96.031188,50,3,4,4,19,1972,2,0,4936,2002,2,7.9,0,0,0,1,0,0,0,5,0,0,0,A,5,5,3,2,0,0,1,0,8.1,15.2,15.8,0,1.7,8.3,10.6,99.99,N,0,N,0,0,7,6,6,8,N,1,44,1,26,6,3,N,5,7,4,34,1,15.8,922,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,1992,1,1,0,1,10,0,1,Y,8,5000,2033,NA,N,31,F,6,167.48,MM,603,41.232142,-96.054581,-96.0545810001684,41.2321420001104
336071,31,U1825F1405,1,5,1,05080,0,02,55,37000,COLE CREEK,NA,AMES AVE/FAU 5080,OMAHA AMES @ 66TH,99.99,16.159,1,0000005080,0,41.17582,96.010516,20,3,4,4,14,1935,4,0,17460,2010,2,19.5,2,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,0,2,0,19.5,3.7,7.6,1.2,1.2,0,0,99.99,N,0,N,0,0,N,N,N,6,6,0,33,0,22,5,N,N,5,6,6,NA,NA,NA,323,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,1,0,1972,N,N,N,N,0,0,1,Y,5,19400,2033,NA,N,31,F,6,148.2,AM,1202,41.299486,-96.016575,-96.0165749998728,41.2994860001439
336072,31,U1825F3705,1,5,1,00F37,0,02,55,37000,HELL CREEK,NA,SELDIN DRIVE,OMAHA SELDIN @ PEDERSEN,99.99,0,0,0000000000,0,41.133612,96.062412,20,3,4,4,19,1935,2,0,100,2016,2,7.3,0,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,0,2,0,7.2,3.7,7.9,3,3,7.2,14.3,99.99,N,0,N,0,0,N,N,N,7,8,0,33,0,22,6,5,N,5,8,7,NA,NA,NA,1022,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,N,N,N,N,5,0,1,Y,8,110,2036,NA,N,31,G,8,112.97,MM,603,41.226769,-96.10585,-96.1058500004067,41.2267689999444
336073,31,U1825F4105,1,5,1,05013,0,02,55,37000,STREAM,NA,105TH ST/FAU 5013,OMAHA 105TH @ FRANCES,99.99,16.138,0,0000000000,0,41.14168,96.04354,20,3,4,4,17,1935,2,0,4488,2014,2,7,0,0,0,N,N,0,0,5,0,0,0,A,5,5,1,19,0,0,2,0,10.2,3.7,7.9,1.2,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,0,33,0,22,5,N,N,5,6,6,NA,NA,NA,323,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,1988,N,N,N,N,5,0,1,Y,8,4588,2034,NA,N,31,F,6,55.3,MM,603,41.238006,-96.076594,-96.0765939997118,41.2380059997681
336074,31,U1825F4110,1,5,1,05013,0,02,55,37000,BIG PAPILLION CREEK,NA,105TH ST/FAU 5013,OMAHA 105TH @ PACIFIC,99.99,16.245,0,0000000000,0,41.1451,96.043576,50,3,4,4,17,1984,2,0,7110,2010,0,9.4,0,10,0,1,N,N,N,5,0,0,0,A,5,5,4,2,0,0,3,0,9.1,22.9,61.9,1.5,0.2,9.1,11.6,99.99,N,0,N,0,0,6,6,5,7,N,1,43,1,26,5,4,N,5,7,7,NA,NA,NA,522,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,1,1,0,1,0,0,1,Y,8,7110,2033,NA,N,31,F,5,718.04,AM,1202,41.247228,-96.076775,-96.0767750003601,41.2472279999466
336075,31,U1825G3515,1,5,1,00G35,0,02,55,37000,WEST PAPILLION CR TRIB,NA,POTWIN ST,OMAHA POTWIN @ 134TH,99.99,0,0,0000000000,0,41.122988,96.071812,20,3,4,4,19,1988,2,0,200,2016,0,7.6,0,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,0,2,0,7.6,3,7.3,1.2,0,0,0,99.99,N,0,N,0,0,N,N,N,7,8,0,33,0,22,6,N,N,5,7,7,NA,NA,NA,322,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,1,1,0,0,1,0,1,Y,8,210,2036,NA,N,31,G,8,55.48,MM,603,41.208183,-96.122292,-96.1222919997992,41.2081830000502
336076,31,U1825G3705,1,5,1,00G37,0,02,55,37000,HELL CREEK,NA,A STREET,OMAHA A @ PEDERSEN,99.99,0,0,0000000000,0,41.132388,96.0618,20,3,4,4,19,1935,2,0,500,2016,2,10.2,0,0,0,N,N,N,N,5,0,0,0,A,5,5,1,19,0,0,2,0,10.2,3.7,7.9,3.8,3.8,10.2,18.9,99.99,N,0,N,0,0,N,N,N,7,7,0,33,0,22,6,6,N,5,8,7,NA,NA,NA,1022,24,N,N,N,NA,NA,NA,0,0,0,NA,,NA,,0,N,2,NA,0,0,0,N,N,N,N,5,0,1,Y,8,600,2036,NA,N,31,G,7,149.31,MM,603,41.224167,-96.105111,-96.1051110004399,41.2241669997959
