"OBJECTID","STATE_CODE_001","STRUCTURE_NUMBER_008","RECORD_TYPE_005A","ROUTE_PREFIX_005B","SERVICE_LEVEL_005C","ROUTE_NUMBER_005D","DIRECTION_005E","HIGHWAY_DISTRICT_002","COUNTY_CODE_003","PLACE_CODE_004","FEATURES_DESC_006A","CRITICAL_FACILITY_006B","FACILITY_CARRIED_007","LOCATION_009","MIN_VERT_CLR_010","KILOPOINT_011","BASE_HWY_NETWORK_012","LRS_INV_ROUTE_013A","SUBROUTE_NO_013B","LAT_016","LONG_017","DETOUR_KILOS_019","TOLL_020","MAINTENANCE_021","OWNER_022","FUNCTIONAL_CLASS_026","YEAR_BUILT_027","TRAFFIC_LANES_ON_028A","TRAFFIC_LANES_UND_028B","ADT_029","YEAR_ADT_030","DESIGN_LOAD_031","APPR_WIDTH_MT_032","MEDIAN_CODE_033","DEGREES_SKEW_034","STRUCTURE_FLARED_035","RAILINGS_036A","TRANSITIONS_036B","APPR_RAIL_036C","APPR_RAIL_END_036D","HISTORY_037","NAVIGATION_038","NAV_VERT_CLR_MT_039","NAV_HORR_CLR_MT_040","OPEN_CLOSED_POSTED_041","SERVICE_ON_042A","SERVICE_UND_042B","STRUCTURE_KIND_043A","STRUCTURE_TYPE_043B","APPR_KIND_044A","APPR_TYPE_044B","MAIN_UNIT_SPANS_045","APPR_SPANS_046","HORR_CLR_MT_047","MAX_SPAN_LEN_MT_048","STRUCTURE_LEN_MT_049","LEFT_CURB_MT_050A","RIGHT_CURB_MT_050B","ROADWAY_WIDTH_MT_051","DECK_WIDTH_MT_052","VERT_CLR_OVER_MT_053","VERT_CLR_UND_REF_054A","VERT_CLR_UND_054B","LAT_UND_REF_055A","LAT_UND_MT_055B","LEFT_LAT_UND_MT_056","DECK_COND_058","SUPERSTRUCTURE_COND_059","SUBSTRUCTURE_COND_060","CHANNEL_COND_061","CULVERT_COND_062","OPR_RATING_METH_063","OPERATING_RATING_064","INV_RATING_METH_065","INVENTORY_RATING_066","STRUCTURAL_EVAL_067","DECK_GEOMETRY_EVAL_068","UNDCLRENCE_EVAL_069","POSTING_EVAL_070","WATERWAY_EVAL_071","APPR_ROAD_EVAL_072","WORK_PROPOSED_075A","WORK_DONE_BY_075B","IMP_LEN_MT_076","DATE_OF_INSPECT_090","INSPECT_FREQ_MONTHS_091","FRACTURE_092A","UNDWATER_LOOK_SEE_092B","SPEC_INSPECT_092C","FRACTURE_LAST_DATE_093A","UNDWATER_LAST_DATE_093B","SPEC_LAST_DATE_093C","BRIDGE_IMP_COST_094","ROADWAY_IMP_COST_095","TOTAL_IMP_COST_096","YEAR_OF_IMP_097","OTHER_STATE_CODE_098A","OTHER_STATE_PCNT_098B","OTHR_STATE_STRUC_NO_099","STRAHNET_HIGHWAY_100","PARALLEL_STRUCTURE_101","TRAFFIC_DIRECTION_102","TEMP_STRUCTURE_103","HIGHWAY_SYSTEM_104","FEDERAL_LANDS_105","YEAR_RECONSTRUCTED_106","DECK_STRUCTURE_TYPE_107","SURFACE_TYPE_108A","MEMBRANE_TYPE_108B","DECK_PROTECTION_108C","PERCENT_ADT_TRUCK_109","NATIONAL_NETWORK_110","PIER_PROTECTION_111","BRIDGE_LEN_IND_112","SCOUR_CRITICAL_113","FUTURE_ADT_114","YEAR_OF_FUTURE_ADT_115","MIN_NAV_CLR_MT_116","FED_AGENCY","SUBMITTED_BY","BRIDGE_CONDITION","LOWEST_RATING","DECK_AREA","STATUS","DATE","LATDD","LONGDD","x","y"
160714,19,"000000000010410",1,5,1,"00000",1,"07",129,7030,"STREAM",NA,"MAIN ST CO.L-55","000000000",99.99,0.898,0,"",NA,41.1158333333333,-95.6372222222222,3,3,2,2,7,1950,2,0,847,2022,"5",9.4,0,30,0,"N","N","N","N",3,"0",0,0,"A",1,5,2,19,0,0,2,0,6.6,3.7,7.3,0,0,0,0,99.99,"N",0,"N",0,0,"N","N","N","6","7","0",44.4,"0",32.7,"7","N","N",5,"5",8,NA,NA,0,223,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"N","N","N","N",0,0,NA,"Y","8",847,2043,0,"N",19,"G",7,68.62,"ST",724,41.115856,-95.637444,-95.6374440004472,41.1158559998805
160771,19,"000000000011411",1,4,1,"00000",2,"07",155,0,"MOSQUITO CREEK",NA,"MAHOGANY ROAD","076421611",99.99,8.647,0,"",NA,41.3872222222222,-95.6719444444444,0,3,2,2,8,1998,2,0,100,2022,"5",8.5,0,0,0,"1","1","1","1",5,"0",0,0,"A",1,5,5,2,0,0,3,0,7.5,20.7,58.5,0,0,7.5,8.3,99.99,"N",0,"N",0,0,"7","8","7","6","N","1",75.1,"1",36.6,"7","6","N",5,"8",7,31,1,150,623,48,"N","N","N",NA,NA,NA,200,25,0,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","0",9,0,NA,"Y","8",100,2043,0,"N",19,"G",7,485.55,"ST",724,41.387222,-95.671978,-95.6719779995933,41.3872220002242
162752,19,"000000000036021",1,4,1,"00000",1,"04",129,0,"PONY CREEK",NA,"221ST STREET","073432204",99.99,12.925,1,"C006541120",NA,41.1111111111111,-95.7711111111111,10,3,2,2,6,1995,2,0,2649,2022,"5",9.8,0,0,0,"N","N","N","N",5,"0",0,0,"A",1,5,2,19,0,0,2,0,8.5,3,6.4,0,0,0,0,99.99,"N",0,"N",0,0,"N","N","N","5","7","0",44,"0",32.7,"7","N","N",5,"8",8,NA,NA,0,223,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",0,"",0,"N",2,NA,0,0,0,"N","N","N","N",10,0,NA,"Y","8",2649,2043,0,"N",19,"G",7,62.72,"ST",724,41.111353,-95.771189,-95.7711889995835,41.1113530002692
162756,19,"000000000036100",1,4,1,"00000",2,"04",129,0,"MISSOURI RIVER (TOLL)",NA,"BUNGE AVE","Nebraska State Line",5.41,0,1,"C006546980",NA,41.1380555555556,-95.88,19,1,26,26,6,1952,2,0,2174,2022,"0",9.1,0,0,1,"1","0","0","0",5,"1",15.9,121.9,"P",1,5,3,10,3,9,2,9,6.7,128,600.2,0.3,0.3,6.7,7.1,5.41,"N",0,"N",0,0,"7","5","5","7","N","1",26.3,"1",15.4,"4","2","N",2,"8",8,31,1,778,421,24,"Y24","Y60","N",421,919,NA,7100,7811,0,NA,"317",50,"S370 01918",0,"N",2,NA,0,0,2004,"1","6","0","0",6,0,1,"Y","5",2174,2042,NA,"N",19,"F",5,4261.42,"ST",724,41.138147,-95.880181,-95.8801810001177,41.1381470002767
162757,19,"000000000036140",1,4,1,"00000",2,"04",129,0,"I-29",NA,"BUNGE AVE","AT JCT. OF I-29",99.99,5.156,1,"C006546980",NA,41.1491666666667,-95.8225,2,3,1,1,6,1968,2,4,4927,2022,"5",13.4,0,5,0,"1","1","1","1",5,"N",0,0,"A",6,1,5,2,0,0,4,0,13.9,21,66.8,0,0,9.8,10.8,99.99,"H",4.88,"H",3,7.4,"6","7","7","N","N","1",72.7,"1",43.6,"7","4","4",5,"N",6,NA,NA,0,423,24,"N","N","N",NA,NA,NA,0,0,NA,NA,"",0,"",0,"N",2,NA,0,0,0,"1","4","0","0",12,0,NA,"Y","N",4927,2042,NA,"N",19,"F",6,721.44,"ST",724,41.149283,-95.822747,-95.8227470004251,41.1492829998627
162775,19,"000000000036360",1,4,1,"00000",1,"04",129,0,"I-29",NA,"ALLIS  ROAD","1.8 mi. S of Jct. SR H-10",99.99,2.39,0,"",NA,41.1230555555556,-95.8227777777778,0,3,1,1,9,1970,2,4,79,2022,"4",8.5,0,12,0,"0","0","0","0",5,"N",0,0,"A",1,1,5,2,0,0,4,0,15.6,21,69.5,0.2,0.2,8.6,9.6,99.99,"H",4.93,"H",3,7.3,"7","8","8","N","N","1",67.4,"1",25,"6","7","4",5,"N",6,NA,NA,0,423,24,"N","N","N",NA,NA,NA,0,0,NA,NA,"",0,"",0,"N",2,NA,0,0,0,"1","1","0","0",0,0,NA,"Y","N",79,2042,NA,"N",19,"G",7,667.2,"ST",724,41.123083,-95.822811,-95.8228109999992,41.1230830001395
162776,19,"000000000036371",1,1,1,"00029",1,"04",129,0,"ST MARYS CREEK",NA,"NB I-29","0.9 mi. S of Jct. IA 370",99.99,67.512,1,"S001910029",NA,41.1361111111111,-95.8205555555556,2,3,1,1,1,2009,2,0,9850,2022,"5",12.2,0,30,0,"1","1","1","1",5,"0",0,0,"A",1,5,2,1,0,0,3,0,12.2,14.3,37.5,0,0,12.2,13.2,99.99,"N",0,"N",0,0,"7","7","8","8","N","1",74.8,"1",44.9,"7","7","N",5,"8",8,NA,NA,0,1223,24,"N","N","N",NA,NA,NA,0,0,NA,NA,"",0,"",1,"R",1,NA,1,0,0,"1","1","0","1",25,1,NA,"Y","8",9850,2043,NA,"N",19,"G",7,495,"ST",724,41.136369,-95.820617,-95.820616999665,41.1363689997724
162777,19,"000000000036381",1,1,1,"00029",3,"04",129,0,"ST MARYS CREEK",NA,"SB I-29","0.9 mi. S of Jct. IA 370",99.99,176.873,0,"",NA,41.1366666666667,-95.8208333333333,2,3,1,1,1,2009,2,0,9850,2022,"5",12.2,0,30,0,"1","1","1","1",5,"0",0,0,"A",1,5,2,1,0,0,3,0,12.2,14.3,37.5,0,0,12.2,13.2,99.99,"N",0,"N",0,0,"7","7","8","8","N","1",74.8,"1",44.9,"7","7","N",5,"8",8,NA,NA,0,1223,24,"N","N","N",NA,NA,NA,0,0,NA,NA,"",0,"",1,"L",1,NA,1,0,0,"1","1","0","1",25,1,NA,"Y","8",9850,2043,NA,"N",19,"G",7,495,"ST",724,41.136703,-95.820914,-95.8209139997659,41.1367030002536
163211,19,"000000000043131",1,5,1,"00000",2,"04",155,1642,"UP&CNIC RR&CITY STREETS",NA,"W BROADWAY","3.2 MI. E. OF NEBR. LINE",99.99,4.083,1,"M164246848",NA,41.2616666666667,-95.8638888888889,2,3,4,4,14,2011,4,8,12055,2022,"A",17.7,3,0,0,"1","1","1","1",5,"N",0,0,"A",1,4,5,2,0,0,12,0,32.7,46.3,470.3,3,0,20.8,22.6,99.99,"H",4.8,"H",3.7,0,"6","8","8","N","N","F",42.1,"F",32.4,"8","9","7",5,"N",8,NA,NA,0,723,24,"N","N","N",NA,NA,NA,0,0,0,NA,"",NA,"",0,"N",2,NA,1,0,NA,"1","1","0","1",2,1,NA,"Y","N",12055,2042,NA,"N",19,"F",6,10628.78,"ST",724,41.261844,-95.864075,-95.8640750002858,41.2618440002818
163212,19,"000000000043140",1,3,1,"00906",2,"04",155,1642,"BNSF RR",NA,"IA 906 EB","1.0 MI. W. OF JCT. I-80",99.99,4.479,1,"S001930906",NA,41.2791666666667,-95.8061111111111,2,3,4,1,14,1968,2,0,3900,2022,"5",12.2,0,17,0,"1","1","1","1",5,"N",0,0,"A",1,2,5,2,0,0,3,0,9.8,17.4,50.9,0,0,9.8,10.8,99.99,"R",6.99,"R",5,0,"7","7","7","N","N","1",65.7,"1",26.3,"6","4","6",5,"N",8,NA,NA,0,523,24,"N","N","N",NA,NA,NA,0,0,NA,NA,"",0,"",0,"R",1,NA,1,0,0,"1","4","0","0",5,0,NA,"Y","N",3900,2042,NA,"N",19,"G",7,549.72,"ST",724,41.279392,-95.806386,-95.8063860003251,41.2793920000508
